,Radius,Noise,IKINumber,MeanDeviation,MaxDeviation,MeanNrDigits,MaxNrDigits,MeanTimeTypingWindow,MaxTimeTypingWindow,MeanTrackingTime,MaxTrackingTime,TrackingWindowVisitCounter,TrialNumber,distance,prediction,label,is_test,SubjectNr,TrialNumber,Block,Score
133,80,3,0.197858158,30.5462766,65.87,20.0,20,4.1955,4.1955,0.0,0.0,0,60,4.991004892563935,Speed,Speed,FALSE,102,60,3,0.181
134,80,3,0.197858158,36.45421801,71.99,20.0,20,4.7227,4.7227,0.0,0.0,0,61,4.245561519774388,Speed,Speed,FALSE,102,61,3,0.151
135,80,3,0.197858158,31.37885845,63.19,20.0,20,4.9685,4.9685,0.0,0.0,0,62,5.793610779212208,Speed,Speed,FALSE,102,62,4,0.152
136,80,3,0.197858158,33.68257009,72.24,20.0,20,4.8254,4.8254,0.0,0.0,0,63,4.613565530957589,Speed,Speed,FALSE,102,63,4,0.147
137,80,3,0.197858158,38.97151376,71.56,20.0,20,4.9451,4.9451,0.0,0.0,0,64,4.159389622633303,Speed,Speed,FALSE,102,64,4,0.153
138,80,3,0.197858158,37.83556075,83.96,20.0,20,5.2028,5.2028,0.0,0.0,0,65,2.269850351181836,Speed,Speed,FALSE,102,65,4,0.132
139,80,3,0.197858158,30.81365297,57.77,20.0,20,4.9461,4.9461,0.0,0.0,0,66,5.694779151133624,Speed,Speed,FALSE,102,66,4,0.153
140,120,5,0.197858158,63.49973856,173.67,6.666666667,19,2.1666,4.8746,0.70055,1.1749,2,77,1.9317702869923887,Speed,Speed,FALSE,102,77,1,0.029
141,120,5,0.197858158,71.90271111,134.16,10.0,20,2.5016,4.7176,0.226,0.226,1,78,6.763138980894396,Speed,Speed,FALSE,102,78,1,0.138
142,120,5,0.197858158,77.70688889,167.95,6.666666667,20,1.5708,4.0703,0.4443,0.6628,2,79,1.4415497739461252,Speed,Speed,FALSE,102,79,1,0.057
143,120,5,0.197858158,39.79463320000001,85.07,10.0,20,2.9146,5.519,0.2256,0.2256,1,80,3.1404092647941497,Speed,Speed,FALSE,102,80,1,0.108
144,120,5,0.197858158,38.110625,85.72,10.0,20,2.43485,4.5592,0.153,0.153,1,81,2.550689765031889,Speed,Speed,FALSE,102,81,1,0.15
145,120,5,0.197858158,76.76125,139.88,10.0,20,3.0664,5.822,0.2262,0.2262,1,82,7.754145911115521,Speed,Speed,FALSE,102,82,2,0.075
146,120,5,0.197858158,32.72369863,118.11,10.0,20,2.4386,4.5414,0.1527,0.1527,1,83,1.0001639652023377,Speed,Speed,TRUE,102,83,2,0.15
147,120,5,0.197858158,85.16550218,181.75,10.0,20,2.5159,4.7208,0.2985,0.2985,1,84,0.9995704109096831,Speed,Speed,FALSE,102,84,2,0.099
148,120,5,0.197858158,47.39119266,96.17,20.0,20,4.9439,4.9439,0.0,0.0,0,85,2.5438452132284355,Speed,Speed,FALSE,102,85,2,0.153
149,120,5,0.197858158,61.67528037,106.22,10.0,20,2.3381,4.3655,0.2982,0.2982,1,86,2.667203754027885,Speed,Speed,FALSE,102,86,2,0.152
150,120,5,0.197858158,118.2516105,176.73,10.0,20,3.01405,5.7425,0.2255,0.2255,1,87,6.850612004857976,Speed,Speed,FALSE,102,87,3,-0.2
151,120,5,0.197858158,92.86323171,177.66,5.0,13,1.71705,3.3423,0.6642,1.031,3,88,1.0000095235930355,Speed,Speed,FALSE,102,88,3,-0.046
152,120,5,0.197858158,50.87320175,99.11,10.0,20,2.51665,4.7975,0.2258,0.2258,1,89,2.6917888789854865,Speed,Speed,FALSE,102,89,3,0.122
