TrialNumber,PayOffFunction,Radius,Noise,IKINumber,MeanDeviation,MaxDeviation,MeanNrDigits,MaxNrDigits,MeanTimeTypingWindow,MaxTimeTypingWindow,MeanTrackingTime,MaxTrackingTime,TrackingWindowVisitCounter
88,Speed,120,5,0.197858158,92.86323171,177.66,5,13,1.71705,3.3423,0.6642,1.031,3
89,Speed,120,5,0.197858158,50.87320175,99.11,10,20,2.51665,4.7975,0.2258,0.2258,1
90,Speed,120,5,0.197858158,66.76329457,112.31,6.666666667,20,1.827866667,4.6663,0.5542,0.9555,2
91,Speed,120,5,0.197858158,48.5465251,78.05,6.666666667,19,1.7557,4.094,0.7731,1.1005,2
92,Speed,120,5,0.197858158,75.17023585,116.46,10,20,2.50745,4.4899,0.2266,0.2266,1
93,Speed,120,5,0.197858158,95.49609589,199.97,10,20,3.3159,6.2704,0.2987,0.2987,1
94,Speed,120,5,0.197858158,63.32,124.06,10,20,2.38815,4.4903,0.2996,0.2996,1
95,Speed,120,5,0.197858158,21.22626214,61.8,10,20,2.2396,4.1937,0.2979,0.2979,1
96,Speed,120,5,0.197858158,44.74952174,113.51,10,20,2.51715,4.6984,0.2986,0.2986,1
107,Speed,120,5,0.393889211,32.22914414,100.95,4,6,1.75958,2.4778,1.192275,1.9766,4
108,Speed,120,5,0.393889211,71.31506849,143.92,5,8,2.022675,3.0828,2.171466667,2.4863,3
109,Speed,120,5,0.393889211,50.98443089,121.01,4,7,2.00126,3.3095,1.13705,1.6844,4
110,Speed,120,5,0.393889211,30.93246862,96.34,4,6,1.79714,2.7509,1.796,2.2703,4
111,Speed,120,5,0.393889211,44.46078199,127.45,6.666666667,11,2.995366667,5.0388,1.3576,1.6119,2
112,Speed,120,5,0.393889211,55.61450237,138.7,6.666666667,13,3.060866667,5.3171,1.13845,1.2476,2
113,Speed,120,5,0.393889211,55.31645923,161.07,5,9,2.3099,3.9828,1.7332,2.1188,3
114,Speed,120,5,0.393889211,42.205,133.47,4,6,1.78562,2.5746,1.8674,2.4901,4
115,Speed,120,5,0.393889211,46.57920771,117.89,4,7,1.75546,2.8073,1.61335,1.9776,4
116,Speed,120,5,0.393889211,43.37974684,93.33,5,8,2.335575,3.6094,1.810033333,2.124,3
117,Speed,120,5,0.393889211,37.02728778,90.36,5,8,2.435375,3.508,1.638166667,1.6887,3
118,Speed,120,5,0.393889211,55.78985689,136.16,5,9,2.792175,4.8902,2.099766667,2.3427,3
119,Speed,120,5,0.393889211,53.53050467,126.37,3.333333333,7,1.69685,4.1329,1.43732,1.9761,5
