,Radius,Noise,IKINumber,MeanDeviation,MaxDeviation,MeanNrDigits,MaxNrDigits,MeanTimeTypingWindow,MaxTimeTypingWindow,MeanTrackingTime,MaxTrackingTime,TrackingWindowVisitCounter,distance,PayOffFunction,TrialNumber,prediction,is_test
1504,120,3,0.403017105,58.17914201,142.03,10.0,13,3.8393,4.8178,0.5905,0.5905,1,-0.9997803894944504,Accuracy,81,Accuracy,False
1053,120,3,0.254892354,37.96980916,72.17,10.0,11,3.0324,3.5858,0.6635,0.6635,1,-1.3018324149678566,Accuracy,120,Accuracy,False
1391,120,3,0.442727895,42.7218408,92.4,4.0,7,2.46632,4.2107,1.48585,1.5411,4,0.3877810160416786,Accuracy,28,Speed,False
1796,120,3,0.226100263,34.17829167,56.55,10.0,11,2.61405,3.1986,0.6642,0.6642,1,-2.182590893339908,Accuracy,33,Accuracy,False
1750,120,3,0.258833158,39.64946844,92.19,5.0,9,1.554175,2.3557,0.665366667,1.1048,3,-2.2412381926336975,Accuracy,87,Accuracy,False
1384,120,3,0.442727895,32.3652381,75.66,3.333333333,7,2.204566667,3.2477,1.65668,2.7798,5,-1.8026067920844913,Accuracy,21,Accuracy,False
1246,120,3,0.223630789,17.6931405,32.61,10.0,10,2.53875,2.7454,1.246,1.246,1,-1.239946360532274,Accuracy,53,Accuracy,False
1249,120,3,0.223630789,42.61701107,81.93,10.0,11,2.84365,3.1442,1.3902,1.3902,1,-1.6408239460971128,Accuracy,56,Accuracy,False
1503,120,3,0.403017105,33.9796468,77.01,6.666666667,10,3.344866667,4.3412,1.02965,1.3225,2,-0.6722430076112982,Accuracy,80,Accuracy,False
1281,120,3,0.40496973700000005,35.44374532,62.34,6.666666667,13,1.8611333330000002,4.2806,0.7365,0.8815,2,-0.9998941237503107,Accuracy,108,Accuracy,False
1242,120,3,0.223630789,11.93055556,28.39,20.0,20,4.8968,4.8968,0.0,0.0,0,-0.14223176689691464,Accuracy,49,Accuracy,False
1756,120,3,0.258833158,32.08971326,62.52,6.666666667,11,2.123033333,3.6031,0.51845,0.6639,2,-1.4645758864668483,Accuracy,93,Accuracy,False
1299,120,3,0.40496973700000005,37.8506051,70.73,4.0,10,1.19678,2.9973,0.81055,1.0298,4,-1.4545925268928048,Accuracy,126,Accuracy,False
1256,120,3,0.223630789,25.4179798,61.91,6.666666667,11,2.0874666669999997,3.9509,0.8932,1.1962,2,-1.0945015526841804,Accuracy,63,Accuracy,False
1506,120,3,0.403017105,35.81642308,72.15,5.0,7,2.7971,3.4985,1.149966667,1.3212,3,-1.0384526156080316,Accuracy,83,Accuracy,False
