;Radius;Noise;IKINumber;MeanDeviation;MaxDeviation;MeanNrDigits;MaxNrDigits;MeanTimeTypingWindow;MaxTimeTypingWindow;MeanTrackingTime;MaxTrackingTime;TrackingWindowVisitCounter;TrialNumber;distance;prediction;label;is_test;SubjectNr;TrialNumber;Block;Score
102;120;3;0.197858158;183.484.965;44.46;6.666.666.667;10;18.638;27.704;13.569;16.129;2;19;-14.889.917.160.768.400;Accuracy;Speed;FALSE;102;19;1;0.05
103;120;3;0.197858158;2.281.053.279;43.78;6.666.666.667;11;1.593.766.667;24.435;106.635;13.223;2;20;-14.469.803.908.955.100;Accuracy;Speed;FALSE;102;20;1;0.097
104;120;3;0.197858158;3.134.197.101;77.74;5.0;12;174.355;28.723;0.907166667;1.248;3;21;-0.8247526314406967;Accuracy;Speed;FALSE;102;21;1;0.021
105;120;3;0.197858158;2.975.182.222;61.7;10.0;20;250.535;44.245;0.4437;0.4437;1;22;20.796.814.463.312.400;Speed;Speed;FALSE;102;22;2;0.136
106;120;3;0.197858158;2.615.048.035;43.78;10.0;20;251.415;47.175;0.3718;0.3718;1;23;10.001.706.332.102.900;Speed;Speed;TRUE;102;23;2;0.127
107;120;3;0.197858158;3.223.863.248;75.77;10.0;20;25.884;4.891;0.371;0.371;1;24;2.013.747.707.241.880;Speed;Speed;FALSE;102;24;2;0.133
108;120;3;0.197858158;5.372.697.674;101.75;10.0;20;33.916;63.475;0.444;0.444;1;25;25.781.588.583.999.200;Speed;Speed;FALSE;102;25;2;0.07
109;120;3;0.197858158;2.600.153.509;57.61;10.0;20;23.002;43.147;15.395;15.395;1;26;23.851.949.029.152.300;Speed;Speed;FALSE;102;26;2;0.116
110;120;3;0.197858158;2.735.308.271;54.51;10.0;20;29.789.999.999.999.900;56.469;0.2979;0.2979;1;27;20.683.633.040.890.900;Speed;Speed;FALSE;102;27;3;0.093
111;120;3;0.197858158;4.397.604.255;76.09;10.0;20;26.031;48.698;0.2982;0.2982;1;28;10.001.143.730.260.500;Speed;Speed;FALSE;102;28;3;0.124
112;120;3;0.197858158;2.632.139.831;73.06;10.0;20;26.028;48.944;0.3727;0.3727;1;29;2.520.066.738.142.620;Speed;Speed;FALSE;102;29;3;0.122
113;120;3;0.197858158;2.474.269.962;49.16;5.0;16;140.415;34.541;0.3234;0.4454;3;30;0.01857075468562519;Speed;Speed;FALSE;102;30;3;0.104
114;120;3;0.197858158;37.399.875;63.67;10.0;20;27.862;51.612;0.226;0.226;1;31;15.006.740.705.407.500;Speed;Speed;FALSE;102;31;3;0.125
